,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
73,73,05-03-2020 13:25:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0214,13216,4976,446,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,05-03-2020 13:25:18,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0268,16520,6220,558,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,05-03-2020 13:25:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6202,991176,373200,33467,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,05-03-2020 13:27:04,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1604,99118,37320,3347,1500.0,,,,,,True,,,Skunk! 50 gr.
77,77,05-03-2020 13:27:04,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0292,17841,6718,602,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
78,78,05-03-2020 13:27:04,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0194,13216,4976,446,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
79,79,05-03-2020 13:27:04,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2159,132157,49760,4462,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
80,80,05-03-2020 13:27:04,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.162,99118,37320,3347,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,81,05-03-2020 13:27:04,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0108,6608,2488,223,100.0,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
82,82,05-03-2020 13:27:04,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3304,1244,112,50.0,,,,,,True,,,kur'er v Batumi
83,83,05-03-2020 13:27:04,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0243,16520,6220,558,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,05-03-2020 13:27:04,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0146,9912,3732,335,150.0,,,,,,True,,,Rabota na marki (kur'er)
85,85,05-03-2020 13:27:04,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0243,16520,6220,558,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
86,86,05-03-2020 13:27:04,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6181,991176,373200,33467,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
87,87,05-03-2020 13:27:04,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0535,33039,12440,1116,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,88,05-03-2020 13:28:30,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0117,7136,2687,241,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
89,89,05-03-2020 13:28:30,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0108,6608,2488,223,100.0,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
90,90,05-03-2020 13:28:30,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0146,9912,3732,335,150.0,,,,,,,,True,Rabota na marki (kur'er)
