,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
89,01-04-2020 14:25:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0361,19433,7013,646,250,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
90,01-04-2020 14:25:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1876,1165988,420750,38784,15000,,True,,,,,,,,Vakansija optovogo kur'era na mef
91,01-04-2020 14:27:17,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0105,6219,2244,207,80,,,,,,,True,,,MEPHEDRONE 0.5 gr
92,01-04-2020 14:27:17,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,2,нет,Батуми,1 гр,0.025,14769,5330,491,190,,,,,,,,True,,NZT-52 limited 1 g muka
93,01-04-2020 14:27:17,Batumi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,2,нет,Батуми,1 гр,0.0217,11660,4208,388,150,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
94,01-04-2020 14:27:17,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,1,нет,Батуми,2 гр,0.0447,26429,9537,879,340,,,,,,,,True,,NZT-52 limited 2g muka
95,01-04-2020 14:27:17,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,13,нет,Батуми,2 гр,0.005,2954,1066,98,38,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
96,01-04-2020 14:27:17,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.318,171012,61710,5688,2200,,,,,,,,True,,[100g] SPAIN HASH
97,01-04-2020 14:27:17,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,3,13,Батуми,5 гр,0.0263,15547,5610,517,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
98,01-04-2020 14:27:17,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2919,155465,56100,5171,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
99,01-04-2020 14:27:17,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.219,116599,42075,3878,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
100,01-04-2020 14:27:17,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0131,7773,2805,259,100,,,,,,,,True,,kur'er v Batumi
