,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
76,76,24-07-2020 11:28:17,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0521,35482,14025,1193,,,500.0,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
77,77,24-07-2020 11:29:47,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0044,2980,1178,100,,,42.0,,,,,,True,,Melkie shishki (Indica) 2g
78,78,24-07-2020 11:29:47,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0256,19160,7574,644,,,270.0,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
79,79,24-07-2020 11:29:47,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0344,23418,9257,787,,,330.0,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
80,80,24-07-2020 11:29:47,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0469,31933,12623,1074,,,450.0,,,,,,,True,Super Critical 10G
81,81,24-07-2020 11:29:47,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0377,25479,10066,856,310.0,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,82,24-07-2020 11:29:47,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0536,36163,14287,1215,440.0,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,83,24-07-2020 11:29:47,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0475,32054,12663,1077,390.0,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,24-07-2020 11:29:47,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0486,32794,12956,1102,399.0,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
85,85,24-07-2020 11:29:47,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1659,112990,51992,3798,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,86,24-07-2020 11:29:47,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2626,178900,82321,6013,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,87,24-07-2020 11:29:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7096,2805,239,,,100.0,,,,,,True,,kur'er v Batumi
88,88,24-07-2020 11:29:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17741,7013,596,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,89,24-07-2020 11:29:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17741,7013,596,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
90,90,24-07-2020 11:29:47,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,14193,5610,477,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
91,91,24-07-2020 11:29:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5767,1064445,420750,35786,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
92,92,24-07-2020 11:29:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0521,35482,14025,1193,,,500.0,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
