,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
64,30-05-2020 13:09:13,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,29716,11361,1012,420,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
65,30-05-2020 13:09:13,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1671,112990,51992,3853,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
66,30-05-2020 13:09:13,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2645,178900,82321,6100,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
67,30-05-2020 13:09:13,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2705,241,100,,,,,,,,True,,,kur'er v Batumi
68,30-05-2020 13:09:13,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17688,6763,603,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
69,30-05-2020 13:09:13,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17688,6763,603,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
70,30-05-2020 13:09:13,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.029,19637,7488,669,,,,,,,,,True,250,,Rabota na marki (kur'er)
71,30-05-2020 13:09:13,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5835,1061280,405750,36150,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
72,30-05-2020 13:09:13,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,35376,13525,1205,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
73,30-05-2020 13:10:18,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0404,27947,10685,952,395,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,30-05-2020 13:10:18,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0199,13797,5275,470,195,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
75,30-05-2020 13:10:18,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.029,19637,7488,669,,,,,,,,,,250,True,Rabota na marki (kur'er)
