,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
75,27-05-2020 05:58:06,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0443,28812,10980,973,405,,,,,,,,True,,,MDMA !! 3 gramma
76,27-05-2020 05:58:06,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1737,112990,51992,3817,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
77,27-05-2020 05:58:06,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2751,178900,82321,6043,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
78,27-05-2020 05:58:06,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7114,2711,240,100,,,,,,,,True,,,kur'er v Batumi
79,27-05-2020 05:58:06,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,17785,6778,601,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
80,27-05-2020 05:58:06,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,17785,6778,601,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
81,27-05-2020 05:58:06,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0299,19446,7425,657,,,,,,,,,True,250,,Rabota na marki (kur'er)
82,27-05-2020 05:58:06,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6556,1067112,406650,36030,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,27-05-2020 05:58:06,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0547,35570,13555,1201,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,27-05-2020 05:59:23,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0525,34503,13148,1165,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,27-05-2020 05:59:23,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0299,19446,7425,657,,,,,,,,,,250,True,Rabota na marki (kur'er)
