,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
66,21-04-2020 07:22:38,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4379,235197,86310,7719,3150,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
67,21-04-2020 07:22:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6395,343462,126040,11273,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,21-04-2020 07:22:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0427,559993,205500,18380,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,21-04-2020 07:22:58,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1817,634658,232900,20830,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,21-04-2020 07:22:58,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0253,14933,5480,490,200,,,,,,,,,,,KURYER..500RUB.+BONUS
71,21-04-2020 07:22:58,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0278,14933,5480,490,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,21-04-2020 07:22:58,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0348,18666,6850,613,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,21-04-2020 07:22:58,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0278,14933,5480,490,200,,,,,,,,,,,Rabota na marki (kur'er)
74,21-04-2020 07:22:58,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1043,1119986,411000,36759,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,21-04-2020 07:24:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,4,нет,Батуми,1 гр,0.0025,1460,536,48,,,,,,,,True,True,18,,Batumi n-booom 1 shtuka
76,21-04-2020 07:24:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,10,нет,Батуми,2 гр,0.0048,2595,953,85,,,,,,,,,True,32,,Batumi n-booom 2 shtuki
77,21-04-2020 07:24:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,5,нет,Батуми,4 гр,0.0075,4461,1637,146,,,,,,,,True,True,55,,Batumi n-booom 4 shtuki
78,21-04-2020 07:24:02,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0082,4866,1786,160,,,,,,,,,True,60,,Batumi n-booom 5 shtuk
79,21-04-2020 07:24:02,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3046,164265,60280,5391,2200,,,,,,,,True,,,[100g] SPAIN HASH
80,21-04-2020 07:24:02,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2797,149331,54800,4901,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
81,21-04-2020 07:24:02,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0126,7467,2740,245,100,,,,,,,,True,,,kur'er v Batumi
82,21-04-2020 07:24:02,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0315,18666,6850,613,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,21-04-2020 07:24:02,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0315,18666,6850,613,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
84,21-04-2020 07:24:02,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0958,1119986,411000,36759,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
85,21-04-2020 07:24:02,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0692,37333,13700,1225,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,21-04-2020 07:25:32,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0259,14112,5179,463,189,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,21-04-2020 07:25:32,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0615,33152,12166,1088,444,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,21-04-2020 07:25:32,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0429,23146,8494,760,310,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,21-04-2020 07:25:32,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0277,14933,5480,490,200,,,,,,,,,,True,Rabota na marki (kur'er)
