,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
78,17-03-2020 03:16:24,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1925,88951,33480,2836,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
79,17-03-2020 03:16:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3529,148252,55800,4727,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,17-03-2020 03:16:24,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3564,148252,55800,4727,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
81,17-03-2020 03:16:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4411,185316,69750,5909,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,17-03-2020 03:16:24,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2673,111189,41850,3545,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,17-03-2020 03:16:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.8116,340981,128340,10873,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,17-03-2020 03:16:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.3232,555947,209250,17727,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,17-03-2020 03:16:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4996,630073,237150,20091,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
86,17-03-2020 03:16:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0321,14825,5580,473,200,,,,,,,,,,,KURYER..500RUB.+BONUS
87,17-03-2020 03:16:24,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0241,11119,4185,355,150,,,,,,,,,,,Rabota na marki (kur'er)
