,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Батуми,Центр,Кутаиси,desc_en
54,13-04-2020 17:02:29,Tbilisi,U26MW,Skyhigh,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.02,10661,3959,359,145,True,,,,,,,,,,,Ketamine 0.5 + MDMA 0.5 Combo
55,13-04-2020 17:02:29,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0206,12081,4470,406,,,,150,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
56,13-04-2020 17:02:29,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0513,27131,10074,913,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
57,13-04-2020 17:02:29,Tbilisi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0413,24263,9009,817,330,True,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
58,13-04-2020 17:02:29,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.082,43379,16107,1460,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
59,13-04-2020 17:02:29,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0551,29410,10920,990,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
60,13-04-2020 17:02:29,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.022,11764,4368,396,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
61,13-04-2020 17:02:29,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0757,40438,15015,1361,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
62,13-04-2020 17:02:29,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12499,4641,421,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,13-04-2020 17:02:29,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0274,14631,5433,493,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
