,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
65,65,26-05-2020 06:47:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0198,14319,5410,480,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,26-05-2020 06:47:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0218,14319,5410,480,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,26-05-2020 06:47:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,17899,6763,600,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,26-05-2020 06:47:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.649,1073943,405750,35993,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,26-05-2020 06:49:14,Batumi,3c4662c591,шишки марихуаны 5G,,3,нет,Батуми,5 гр,0.0327,21479,8115,720,300.0,,,,,,,,,,True,,,shishki marihuany 5G
70,70,26-05-2020 06:49:14,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2401,157512,59510,5279,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
71,71,26-05-2020 06:49:14,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0093,6086,2299,204,85.0,,,,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
72,72,26-05-2020 06:49:14,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0356,25701,9719,862,,,,,,,330.0,,,,,True,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
73,73,26-05-2020 06:49:14,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0491,32218,12173,1080,450.0,,,,,,,,,,,True,,MDMA !! 3 gramma
74,74,26-05-2020 06:49:14,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1722,112990,51992,3787,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,26-05-2020 06:49:14,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2727,178900,82321,5996,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,26-05-2020 06:49:14,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7160,2705,240,100.0,,,,,,,,,,,True,,kur'er v Batumi
77,77,26-05-2020 06:49:14,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,17899,6763,600,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
78,78,26-05-2020 06:49:14,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,17899,6763,600,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
79,79,26-05-2020 06:49:14,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0119,7788,2945,261,,,,,,,100.0,,,,,True,,Rabota na marki (kur'er)
80,80,26-05-2020 06:49:14,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6518,1073943,405750,35993,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
81,81,26-05-2020 06:49:14,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0546,35798,13525,1200,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,26-05-2020 06:50:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0524,34724,13119,1164,485.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,26-05-2020 06:50:38,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,3 гр,0.0267,17899,6763,600,250.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,26-05-2020 06:50:38,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0074,5370,2029,180,75.0,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
85,85,26-05-2020 06:50:38,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0114,8234,3111,276,115.0,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
86,86,26-05-2020 06:50:38,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0119,7788,2945,261,,,,,,,100.0,,,,,,True,Rabota na marki (kur'er)
