,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
89,29-03-2020 00:16:27,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0263,15547,5700,515,200,True,,,,,,,,,,,KURYER..500RUB.+BONUS
90,29-03-2020 00:16:27,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.029,15547,5700,515,200,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
91,29-03-2020 00:16:27,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0363,21435,7938,709,,True,,,250,,,,,,,,Rabota na marki (kur'er)
92,29-03-2020 00:16:27,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.029,15547,5700,515,200,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
93,29-03-2020 00:16:27,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0362,19433,7125,644,250,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
94,29-03-2020 00:16:27,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1928,1165988,427500,38631,15000,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
95,29-03-2020 00:18:08,Batumi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,3,нет,Батуми,0.25 гр,0.0276,14769,5415,489,190,,,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
96,29-03-2020 00:18:08,Batumi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,1,нет,Батуми,0.25 гр,0.029,15547,5700,515,200,,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
97,29-03-2020 00:18:08,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,6,нет,Батуми,0.5 гр,0.0106,6219,2280,206,80,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
98,29-03-2020 00:18:08,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0175,10289,3810,340,,,,,120,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
99,29-03-2020 00:18:08,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,3,нет,Батуми,1 гр,0.0251,14769,5415,489,190,,,,,,,,,,True,,NZT-52 limited 1 g muka
100,29-03-2020 00:18:08,Batumi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.0218,11660,4275,386,150,,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
