,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
61,12-08-2020 03:31:09,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0505,47549,18070,1591,650,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
62,12-08-2020 03:31:09,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.205,175565,66720,5876,2400,,,,,,,,,,,,100 gr marijuana buds
63,12-08-2020 03:31:09,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2135,182881,69500,6121,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,12-08-2020 03:31:09,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5039,431598,164020,14444,5900,,,,,,,,,,,,180 gr marihuana persoalno
65,12-08-2020 03:31:09,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0245,21000,9663,698,,,,,,,,True,,,,,GABAGAMA 250 shtuk
66,12-08-2020 03:31:09,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7259,621794,236300,20810,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,12-08-2020 03:31:09,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0214,18288,6950,612,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,12-08-2020 03:31:09,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0466,43891,16680,1469,600,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
69,12-08-2020 03:31:09,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0171,14630,5560,490,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,12-08-2020 03:31:09,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5633,2141,189,77,,,,,,,,,,,,RoSS Uboj 2gr
