,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Old Tbilisi (Старый город),Дигоми,Авлобари,Центр,Батуми,Кутаиси,desc_en
77,18-04-2020 04:25:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1547,628525,232900,20783,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,18-04-2020 04:25:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,14789,5480,489,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
79,18-04-2020 04:25:24,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,14789,5480,489,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,18-04-2020 04:25:24,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,18486,6850,611,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
81,18-04-2020 04:25:24,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0562,1109162,411000,36675,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,18-04-2020 04:27:04,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0408,22183,8220,734,300,,,,,,,,,True,,,Super Critical HIGHEST QUALITY 5G
83,18-04-2020 04:27:04,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2989,162677,60280,5379,2200,,,,,,,,,,True,,[100g] SPAIN HASH
84,18-04-2020 04:27:04,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0408,24402,9042,807,330,,,,,,,,,True,,,Sk sinij kris ochen' sil'nyj 3gr
85,18-04-2020 04:27:04,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2744,147888,54800,4890,2000,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
86,18-04-2020 04:27:04,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7394,2740,245,100,,,,,,,,,,True,,kur'er v Batumi
87,18-04-2020 04:27:04,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0309,18486,6850,611,250,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
88,18-04-2020 04:27:04,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0309,18486,6850,611,250,,,,,,,,,,True,,Ischu kur'era v Gruzii!
89,18-04-2020 04:27:04,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0562,1109162,411000,36675,15000,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,18-04-2020 04:27:04,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0679,36972,13700,1223,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,18-04-2020 04:28:43,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0195,10722,3973,355,145,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,18-04-2020 04:28:43,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0491,26990,10001,892,365,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,18-04-2020 04:28:43,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.037,20335,7535,672,275,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
