,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
86,86,03-05-2020 23:02:51,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5384,136000,12072,363632,5000.0,,,,,,,,,,,,METADON - 20 G.
87,87,03-05-2020 23:02:51,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0645,16293,1446,43563,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
88,88,03-05-2020 23:02:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1173,29920,2656,79999,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
89,89,03-05-2020 23:02:51,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,1,Тбилиси,50 гр,0.1478,38080,3380,101817,1400.0,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
90,90,03-05-2020 23:02:51,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2559,65280,5794,174543,2400.0,,,,,,,,,,,,100 gr marijuana buds
91,91,03-05-2020 23:02:51,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3199,81600,7243,218179,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
92,92,03-05-2020 23:02:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2132,54400,4829,145453,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,93,03-05-2020 23:02:51,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2666,68000,6036,181816,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
94,94,03-05-2020 23:02:51,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6291,160480,14244,429085,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
95,95,03-05-2020 23:02:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4905,125120,11106,334541,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
96,96,03-05-2020 23:02:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7997,204000,18107,545447,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
97,97,03-05-2020 23:02:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9063,231200,20522,618174,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
98,98,03-05-2020 23:02:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0194,5440,483,14545,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
99,99,03-05-2020 23:02:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,5440,483,14545,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
