,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
74,74,29-02-2020 23:33:10,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,4,15,Батуми,0.27 гр,0.0302,18088,6669,605,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
75,75,29-02-2020 23:33:10,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0201,13398,4940,448,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
76,76,29-02-2020 23:33:10,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2238,133982,49400,4478,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
77,77,29-02-2020 23:33:10,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1679,100486,37050,3359,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,29-02-2020 23:33:10,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0112,6699,2470,224,100.0,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
79,79,29-02-2020 23:33:10,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3350,1235,112,50.0,,,,,,True,,,kur'er v Batumi
80,80,29-02-2020 23:33:10,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.005,3350,1235,112,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
81,81,29-02-2020 23:33:10,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0075,5000,2301,167,,,,,,,True,,,Vakansija Kur'era v Batumi
82,82,29-02-2020 23:33:10,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0252,16748,6175,560,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,29-02-2020 23:33:10,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0252,16748,6175,560,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
84,84,29-02-2020 23:33:10,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6773,1004864,370500,33587,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
85,85,29-02-2020 23:33:10,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0554,33495,12350,1120,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,29-02-2020 23:34:41,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,166,74.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
87,87,29-02-2020 23:34:41,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0121,7235,2668,242,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
88,88,29-02-2020 23:34:41,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0112,6699,2470,224,100.0,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
