,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Old Tbilisi (Старый город),Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
76,76,05-05-2020 03:22:24,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0117,2987,270,8000,,110.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
77,77,05-05-2020 03:22:24,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0958,24435,2209,65454,,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
78,78,05-05-2020 03:22:24,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0426,10860,982,29091,,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
79,79,05-05-2020 03:22:24,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0745,19005,1718,50908,,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
80,80,05-05-2020 03:22:24,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.034,8688,785,23272,,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
81,81,05-05-2020 03:22:24,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0106,2715,245,7273,,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
82,82,05-05-2020 03:22:24,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0851,21720,1964,58181,,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
83,83,05-05-2020 03:22:24,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0309,7874,712,21091,,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
84,84,05-05-2020 03:22:24,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2367,60409,5461,161816,,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
85,85,05-05-2020 03:22:24,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1675,42327,3826,113380,,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
86,86,05-05-2020 03:22:24,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0397,10018,906,26836,,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
87,87,05-05-2020 03:22:24,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5373,135750,12272,363632,,5000.0,,,,,,,,,,,,METADON - 20 G.
88,88,05-05-2020 03:22:24,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0644,16263,1470,43563,,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
89,89,05-05-2020 03:22:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.11699999999999999,29865,2700,79999,,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
90,90,05-05-2020 03:22:24,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2553,65160,5891,174543,,2400.0,,,,,,,,,,,,100 gr marijuana buds
91,91,05-05-2020 03:22:24,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3192,81450,7363,218179,,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
92,92,05-05-2020 03:22:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2128,54300,4909,145453,,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,93,05-05-2020 03:22:24,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.266,67875,6136,181816,,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
94,94,05-05-2020 03:22:24,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6277,160185,14481,429085,,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
95,95,05-05-2020 03:22:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4894,124890,11290,334541,,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
96,96,05-05-2020 03:22:24,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7979999999999999,203625,18408,545447,,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
