,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
75,75,23-03-2020 01:07:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3717,195111,70250,6398,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
76,76,23-03-2020 01:07:07,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2253,117066,42150,3839,1500.0,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
77,77,23-03-2020 01:07:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.684,359004,129260,11772,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
78,78,23-03-2020 01:07:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.1151,585332,210750,19193,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,79,23-03-2020 01:07:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2638,663377,238850,21752,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,80,23-03-2020 01:07:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.027000000000000003,15609,5620,512,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
81,81,23-03-2020 01:07:07,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.027000000000000003,15609,5620,512,200.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
82,82,23-03-2020 01:07:07,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0203,11707,4215,384,150.0,True,,,,,,,,,,,Rabota na marki (kur'er)
83,83,23-03-2020 01:07:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0297,15609,5620,512,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,23-03-2020 01:07:07,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0372,19511,7025,640,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,23-03-2020 01:07:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2506,1170665,421500,38387,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,23-03-2020 01:08:37,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,5,нет,Батуми,0.5 гр,0.0108,6244,2248,205,80.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
87,87,23-03-2020 01:08:37,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0406,23413,8430,768,300.0,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
88,88,23-03-2020 01:08:37,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,19,нет,Батуми,1 гр,0.0257,14828,5339,486,190.0,,,,,,,,,,True,,NZT-52 limited 1 g muka
89,89,23-03-2020 01:08:37,Batumi,c72111ac1a,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.046,26535,9554,870,340.0,,,,,,,,,,True,,NZT-52 limited 2g muka
90,90,23-03-2020 01:08:37,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3271,171697,61820,5630,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
91,91,23-03-2020 01:08:37,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.30 G,,2,3,Батуми,0.3 гр,0.0451,23413,8430,768,300.0,,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.30 G
92,92,23-03-2020 01:08:37,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.027000000000000003,15609,5620,512,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
93,93,23-03-2020 01:08:37,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3003,156089,56200,5118,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
94,94,23-03-2020 01:08:37,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2253,117066,42150,3839,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
95,95,23-03-2020 01:08:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0135,7804,2810,256,100.0,,,,,,,,,,True,,kur'er v Batumi
96,96,23-03-2020 01:08:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0338,19511,7025,640,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,97,23-03-2020 01:08:37,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0203,11707,4215,384,150.0,,,,,,,,,,True,,Rabota na marki (kur'er)
98,98,23-03-2020 01:08:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0338,19511,7025,640,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
99,99,23-03-2020 01:08:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2506,1170665,421500,38387,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
