,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Gldani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
71,19-05-2020 09:18:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4763,123050,11208,335707,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,19-05-2020 09:18:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7765,200625,18274,547349,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,19-05-2020 09:18:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8801,227375,20710,620328,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,19-05-2020 09:18:26,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,5350,487,14596,200,,,,,,,,,,KURYER..500RUB.+BONUS
75,19-05-2020 09:18:26,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0414,10700,975,29192,400,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
76,19-05-2020 09:18:26,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,5350,487,14596,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,19-05-2020 09:18:26,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,6688,609,18245,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,19-05-2020 09:18:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5672,401250,36548,1094697,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
79,19-05-2020 09:20:00,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2275,58850,5360,160556,2200,,,,,,,True,,,[100g] SPAIN HASH
80,19-05-2020 09:20:00,Batumi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,8,Батуми,0.2 гр,0.0101,2606,237,7105,,,,,90,,,True,,,Buprenorfin (analog suboteksa) 0.2 gr.
81,19-05-2020 09:20:00,Batumi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",,нет,24,Батуми,0.5 гр,0.0093,2408,219,6568,90,,,,,,,True,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
82,19-05-2020 09:20:00,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,955,87,2605,,,,,33,,,True,,,Batumi n-booom 2 shtuki
83,19-05-2020 09:20:00,Batumi,A3I9,Joookerrr,"""Express Batumi"" марки н-боооом 8 шт.",,нет,10,Батуми,8 гр,0.0103,2675,244,7298,100,,,,,,,True,,,"""Express Batumi"" marki n-boooom 8 sht."
84,19-05-2020 09:20:00,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1601,51992,3771,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,19-05-2020 09:20:00,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2535,82321,5970,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,19-05-2020 09:20:00,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,2675,244,7298,100,,,,,,,True,,,kur'er v Batumi
87,19-05-2020 09:20:00,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,6688,609,18245,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,19-05-2020 09:20:00,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,6688,609,18245,250,,,,,,,True,,,Ischu kur'era v Gruzii!
89,19-05-2020 09:20:00,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5655,401250,36548,1094697,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,19-05-2020 09:20:00,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0517,13375,1218,36490,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,19-05-2020 09:21:26,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0213,5618,512,15326,210,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,19-05-2020 09:21:26,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0497,12974,1182,35395,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,19-05-2020 09:21:26,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0379,9898,902,27003,370,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,19-05-2020 09:21:26,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0207,5350,487,14596,200,,,,,,,,,True,Rabota na marki (kur'er)
