,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
83,83,04-08-2020 16:21:38,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0438,36690,13975,1224,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
84,84,04-08-2020 16:21:38,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0438,36690,13975,1224,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
85,85,04-08-2020 16:21:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3244,1100709,419250,36713,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,04-08-2020 16:21:38,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0438,36690,13975,1224,500.0,,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
87,87,04-08-2020 16:23:53,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0029,2422,922,81,33.0,,,,,,,,,,True,,Melkie shishki (Indica) 2g
88,88,04-08-2020 16:23:53,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.035,29352,11180,979,400.0,,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
89,89,04-08-2020 16:23:53,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0458,38060,14454,1266,,,,,,,440.0,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
90,90,04-08-2020 16:23:53,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0265,22014,8385,734,300.0,,,,,,,,,,True,,METADON - 0.30 - SALE
91,91,04-08-2020 16:23:53,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0406,33735,12812,1122,,,,,,,390.0,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
92,92,04-08-2020 16:23:53,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.008,7338,2795,245,100.0,,,,,,,,,,True,,kur'er v Batumi
93,93,04-08-2020 16:23:53,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0199,18345,6988,612,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,94,04-08-2020 16:23:53,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0199,18345,6988,612,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
95,95,04-08-2020 16:23:53,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0175,14676,5590,490,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
96,96,04-08-2020 16:23:53,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3241,1100709,419250,36713,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
97,97,04-08-2020 16:23:53,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0437,36690,13975,1224,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
