,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
72,02-07-2020 06:50:21,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2633,176033,67373,6058,2499,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,02-07-2020 06:50:21,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.0422,28177,10784,970,400,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,02-07-2020 06:50:21,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0461,30884,11798,1062,,,,,,390,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
75,02-07-2020 06:50:21,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.0843,56353,21568,1939,800,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,02-07-2020 06:50:21,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2504,169059,64704,5818,2400,,,,,,,,,,100 gr marijuana buds
77,02-07-2020 06:50:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2087,140883,53920,4849,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,02-07-2020 06:50:21,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2608,176103,67400,6061,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,02-07-2020 06:50:21,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6156,415604,159064,14303,5900,,,,,,,,,,180 gr marihuana persoalno
80,02-07-2020 06:50:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4799,324030,124016,11152,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,02-07-2020 06:50:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7825,528310,202200,18182,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,02-07-2020 06:50:21,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8868,598751,229160,20607,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
