,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
71,04-08-2020 07:39:33,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0221,18540,6988,612,250,,,,,,,,,,,Rabota na marki (kur'er)
72,04-08-2020 07:39:33,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0442,37079,13975,1224,500,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
73,04-08-2020 07:39:33,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0442,37079,13975,1224,500,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
74,04-08-2020 07:39:33,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3381,1112379,419250,36713,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,04-08-2020 07:39:33,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0442,37079,13975,1224,500,,,True,True,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
76,04-08-2020 07:41:37,Batumi,6KB,Marioshop,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,2,нет,Батуми,0.4 гр,0.024,19975,7511,659,,,,,,,229,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
77,04-08-2020 07:41:37,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,9,нет,Батуми,2 гр,0.0029,2447,922,81,33,,,,,,,,,,True,Melkie shishki (Indica) 2g
78,04-08-2020 07:41:37,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0354,29663,11180,979,400,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
79,04-08-2020 07:41:37,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0462,38379,14432,1266,,,,,,,440,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
80,04-08-2020 07:41:37,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0268,22248,8385,734,300,,,,,,,,,,True,METADON - 0.30 - SALE
81,04-08-2020 07:41:37,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0409,34018,12792,1122,,,,,,,390,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
82,04-08-2020 07:41:37,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.008,7416,2795,245,100,,,,,,,,,,True,kur'er v Batumi
83,04-08-2020 07:41:37,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0201,18540,6988,612,250,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
84,04-08-2020 07:41:37,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0201,18540,6988,612,250,,,,,,,,,,True,Ischu kur'era v Gruzii!
85,04-08-2020 07:41:37,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0177,14832,5590,490,200,,,,,,,,,,True,Kur'er Batumi na marihuanu
86,04-08-2020 07:41:37,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3381,1112379,419250,36713,15000,,,,,,,,,,True,Vakansija optovogo kur'era na mef
87,04-08-2020 07:41:37,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0442,37079,13975,1224,500,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
