,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
76,05-08-2020 15:47:24,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2076,176113,66960,5855,2400,,,,,,,,,,,,100 gr marijuana buds
77,05-08-2020 15:47:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2162,183452,69750,6099,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,05-08-2020 15:47:24,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5103,432946,164610,14392,5900,,,,,,,,,,,,180 gr marihuana persoalno
79,05-08-2020 15:47:24,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0212,18000,8283,598,,,,True,,,,,,,,,GABAGAMA 250 shtuk
80,05-08-2020 15:47:24,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0865,73381,27900,2439,1000,,,,True,,,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
81,05-08-2020 15:47:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7352,623735,237150,20735,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,05-08-2020 15:47:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0157,14676,5580,488,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
83,05-08-2020 15:47:24,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0216,18345,6975,610,250,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
84,05-08-2020 15:47:24,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0216,18345,6975,610,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,05-08-2020 15:47:24,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0472,44028,16740,1464,600,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
86,05-08-2020 15:47:24,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0173,14676,5580,488,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,05-08-2020 15:47:24,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0216,18345,6975,610,250,,,,,,,,,,,,Rabota na marki (kur'er)
88,05-08-2020 15:47:24,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0432,36690,13950,1220,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
89,05-08-2020 15:47:24,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0432,36690,13950,1220,500,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
90,05-08-2020 15:47:24,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3092,1100709,418500,36591,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
91,05-08-2020 15:47:24,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0432,36690,13950,1220,500,,,,True,,True,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
92,05-08-2020 15:50:07,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,2,нет,Батуми,2 гр,0.0029,2422,921,81,33,,,,,,,,,,True,,Melkie shishki (Indica) 2g
93,05-08-2020 15:50:07,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0347,29352,11160,976,400,,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
94,05-08-2020 15:50:07,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0412,34514,13127,1148,,,,,,,,,,399,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
95,05-08-2020 15:50:07,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,3,Батуми,0.3 гр,0.0263,22014,8370,732,300,,,,,,,,,,True,,METADON - 0.30 - SALE
