,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
51,51,05-03-2020 03:53:57,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.033,19757,7457,667,299.0,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,52,05-03-2020 03:53:57,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0772,46255,17458,1562,700.0,,,,,,,,20x Extasy Duracell 223mg MDMA.
53,53,05-03-2020 03:53:57,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0661,39581,14939,1336,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
54,54,05-03-2020 03:53:57,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0734,46255,17458,1562,700.0,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
55,55,05-03-2020 03:53:57,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1192,79294,29928,2677,1200.0,,,,,,,,50 gr 23% THC Amnesia Haze top quality
56,56,05-03-2020 03:53:57,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1047,66012,24915,2229,999.0,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
57,57,05-03-2020 03:53:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2185,132157,49880,4462,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
58,58,05-03-2020 03:53:57,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2207,132157,49880,4462,2000.0,,,,,,,,SUBOXIN - HQ - 100 G.
59,59,05-03-2020 03:53:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2731,165196,62350,5578,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,05-03-2020 03:53:57,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1655,99118,37410,3347,1500.0,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
