,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Vake,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
83,14-03-2020 13:15:27,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2505,109782,40335,3510,1500,,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
84,14-03-2020 13:15:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7605,336666,123694,10765,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,14-03-2020 13:15:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2399,548912,201675,17552,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
86,14-03-2020 13:15:27,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4052,622100,228565,19892,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
87,14-03-2020 13:15:27,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0301,14638,5378,468,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
88,14-03-2020 13:15:27,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0225,10978,4034,351,150,,,,,,,,,,,,,Rabota na marki (kur'er)
89,14-03-2020 13:15:27,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0331,14638,5378,468,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
90,14-03-2020 13:15:27,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0413,18297,6723,585,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
91,14-03-2020 13:15:27,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5024,1097823,403350,35103,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
92,14-03-2020 13:17:17,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2471,109782,40335,3510,1500,,,,,,,,,,True,,,Skunk! 50 gr.
93,14-03-2020 13:17:17,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.03,14638,5378,468,200,,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
94,14-03-2020 13:17:17,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3328,146376,53780,4680,2000,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
95,14-03-2020 13:17:17,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2496,109782,40335,3510,1500,,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
96,14-03-2020 13:17:17,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.015,7319,2689,234,100,,,,,,,,,,True,,,kur'er v Batumi
97,14-03-2020 13:17:17,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0374,18297,6723,585,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
