,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
63,16-07-2020 15:23:39,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,2,Тбилиси,11 гр,0.0487,32411,12469,1095,,,399,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
64,16-07-2020 15:23:39,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0626,46300,17843,1561,650,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
65,16-07-2020 15:23:39,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2543,170954,65880,5764,2400,,,,,,,,,,,,100 gr marijuana buds
66,16-07-2020 15:23:39,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2649,178078,68625,6004,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,16-07-2020 15:23:39,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6252,420263,161955,14169,5900,,,,,,,,,,,,180 gr marihuana persoalno
68,16-07-2020 15:23:39,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9007,605464,233325,20414,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,16-07-2020 15:24:29,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14246,5490,480,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
70,16-07-2020 15:24:29,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0265,17808,6863,600,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,16-07-2020 15:24:29,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0212,14246,5490,480,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,16-07-2020 15:24:29,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0265,17808,6863,600,250,,,,,,,,,,,,Rabota na marki (kur'er)
73,16-07-2020 15:24:29,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.053,35616,13725,1201,500,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,16-07-2020 15:24:29,Tbilisi,X4ZM,ZYX,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0212,14246,5490,480,200,,,,,,,,,,,,Rabota kur'erom
75,16-07-2020 15:24:29,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6051,1068465,411750,36024,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,16-07-2020 15:24:29,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.053,35616,13725,1201,500,True,,,,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,16-07-2020 15:25:36,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,2,5,Батуми,0.3 гр,0.0321,21369,8235,720,300,,,,,,,,,True,,,METADON - 0.30 - SALE
78,16-07-2020 15:25:36,Batumi,5HQU,LIKEaBOSS,ASTRAL 1g,,4,нет,Батуми,1 гр,0.0077,5698,2196,192,80,,,,,,,,,True,,,ASTRAL 1g
79,16-07-2020 15:25:36,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,10,нет,Батуми,2 гр,0.0045,2992,1153,101,42,,,,,,,,,True,,,Melkie shishki (Indica) 2g
80,16-07-2020 15:25:36,Batumi,5HQU,LIKEaBOSS,ASTRAL 3g,,2,нет,Батуми,3 гр,0.026,19232,7412,648,270,,,,,,,,,True,,,ASTRAL 3g
