,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
78,78,24-05-2020 22:55:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7188,2705,240,100.0,,,,,,,,,True,,,kur'er v Batumi
79,79,24-05-2020 22:55:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0247,17970,6763,600,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
80,80,24-05-2020 22:55:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0247,17970,6763,600,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
81,81,24-05-2020 22:55:54,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0118,7844,2945,262,,,,,,,100.0,,,True,,,Rabota na marki (kur'er)
82,82,24-05-2020 22:55:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6423,1078206,405750,35979,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,24-05-2020 22:55:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0543,35940,13525,1199,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,24-05-2020 22:57:39,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0521,34862,13119,1163,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,24-05-2020 22:57:39,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0276,18689,7033,624,260.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,24-05-2020 22:57:39,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0074,5391,2029,180,75.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
87,87,24-05-2020 22:57:39,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0113,8266,3111,276,115.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
88,88,24-05-2020 22:57:39,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0118,7844,2945,262,,,,,,,100.0,,,,,True,Rabota na marki (kur'er)
