,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
78,30-03-2020 21:07:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0525,582994,213750,19316,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
79,30-03-2020 21:07:02,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1929,660726,242250,21891,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,30-03-2020 21:07:02,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0255,15547,5700,515,200,,,,,,,,,,,KURYER..500RUB.+BONUS
81,30-03-2020 21:07:02,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0281,15547,5700,515,200,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
82,30-03-2020 21:07:02,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,50 гр,0.0352,21435,7888,709,,,,,250,,,,,,,Rabota na marki (kur'er)
83,30-03-2020 21:07:02,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0281,15547,5700,515,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,30-03-2020 21:07:02,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0351,19433,7125,644,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,30-03-2020 21:07:02,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1242,1165988,427500,38631,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,30-03-2020 21:08:15,Batumi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,1,нет,Батуми,0.25 гр,0.0266,14769,5415,489,190,,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
87,30-03-2020 21:08:15,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0102,6219,2280,206,80,,,,,,,,True,,,MEPHEDRONE 0.5 gr
88,30-03-2020 21:08:15,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,1,нет,Батуми,1 гр,0.0242,14769,5415,489,190,,,,,,,,,True,,NZT-52 limited 1 g muka
89,30-03-2020 21:08:15,Batumi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.021,11660,4275,386,150,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
90,30-03-2020 21:08:15,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,15,нет,Батуми,2 гр,0.0048,2954,1083,98,38,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
