,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
95,95,17-02-2020 16:52:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0303,18929,7346,657,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
96,96,17-02-2020 16:52:42,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0456,28489,11057,989,450.0,,,,,,,,,15x Extasy Duracell 223mg MDMA.
97,97,17-02-2020 16:52:42,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3011,208918,81081,7255,3300.0,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
98,98,17-02-2020 16:52:42,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0578,37985,14742,1319,600.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
99,99,17-02-2020 16:53:28,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0579,37985,14742,1319,600.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
100,100,17-02-2020 16:53:28,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1098,75970,29484,2638,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
101,101,17-02-2020 16:53:28,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0869,56978,22113,1979,900.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
102,102,17-02-2020 16:53:28,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0956,60143,23342,2089,950.0,,,,,,,,,Hybrid Skunk! 50 gr
103,103,17-02-2020 16:53:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2012,126617,49140,4397,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
104,104,17-02-2020 16:53:28,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1811,113955,44226,3957,1800.0,,,,,,,,,Hybrid Skunk! 100 gr
