,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
73,04-03-2020 09:54:57,Batumi,OSN8,KOLOVSKI,Subotex B8 Francce,,нет,2,Батуми,1.4 гр,0.0279,18604,7020,626,280,,,,,,,True,Subotex B8 Francce
74,04-03-2020 09:54:57,Batumi,OSN8,KOLOVSKI,"Метадон прямиком с Ленинграда 3+0,5гр",,нет,1,Батуми,3.5 гр,0.1345,89699,33845,3016,1350,,,,,,,True,"Metadon prjamikom s Leningrada 3+0,5gr"
75,04-03-2020 09:54:57,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0199,13289,5014,447,200,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
76,04-03-2020 09:54:57,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2215,132887,50140,4468,2000,,,,,,True,,SUBOXIN - HQ - 100 G.
77,04-03-2020 09:54:57,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1661,99666,37605,3351,1500,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,04-03-2020 09:54:57,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0111,6644,2507,223,100,,,,,,True,,"Ischu kur'era (kladchik, kladmen)"
79,04-03-2020 09:54:57,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3322,1254,112,50,,,,,,True,,kur'er v Batumi
80,04-03-2020 09:54:57,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,16611,6268,559,250,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
81,04-03-2020 09:54:57,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,16611,6268,559,250,,,,,,True,,Ischu kur'era v Gruzii!
82,04-03-2020 09:54:57,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6594,996656,376050,33513,15000,,,,,,True,,Vakansija optovogo kur'era na mef
83,04-03-2020 09:54:57,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0548,33222,12535,1117,500,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
