,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
67,67,14-03-2020 06:41:14,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0301,13540,4975,433,185.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,14-03-2020 06:41:14,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0795,35789,13149,1144,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
69,69,14-03-2020 06:41:14,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0535,24079,8847,770,329.0,,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
70,70,14-03-2020 06:41:14,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1448,65869,24201,2106,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,14-03-2020 06:41:14,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1126,51232,18823,1638,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,14-03-2020 06:41:14,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0642,29202,10729,934,399.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,14-03-2020 06:41:14,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0569,25616,9412,819,350.0,,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
74,74,14-03-2020 06:41:15,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1287,58551,21512,1872,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,14-03-2020 06:41:15,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.358,162844,59830,5207,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,76,14-03-2020 06:41:15,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2355,106050,38964,3391,1449.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,14-03-2020 06:41:15,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.06,27006,9922,864,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,78,14-03-2020 06:41:15,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0486,21883,8040,700,299.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
79,79,14-03-2020 06:41:15,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2735,124420,45713,3978,1700.0,,,,,,,,,,,,,MDMA 20 g
80,80,14-03-2020 06:41:15,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0973,43840,16107,1402,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,81,14-03-2020 06:41:15,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1081,51232,18823,1638,700.0,,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
82,82,14-03-2020 06:41:15,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1755,87826,32268,2808,1200.0,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,83,14-03-2020 06:41:15,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1543,73115,26863,2338,999.0,,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
84,84,14-03-2020 06:41:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3218,146376,53780,4680,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,85,14-03-2020 06:41:15,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.325,146376,53780,4680,2000.0,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
86,86,14-03-2020 06:41:15,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4023,182971,67225,5851,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,87,14-03-2020 06:41:15,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2438,109782,40335,3510,1500.0,,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
88,88,14-03-2020 06:41:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7402,336666,123694,10765,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,89,14-03-2020 06:41:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2068,548912,201675,17552,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,90,14-03-2020 06:41:15,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3677,622100,228565,19892,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
91,91,14-03-2020 06:41:15,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0293,14638,5378,468,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
92,92,14-03-2020 06:41:15,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0219,10978,4034,351,150.0,,,,,,,,,,,,,Rabota na marki (kur'er)
93,93,14-03-2020 06:41:15,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0322,14638,5378,468,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,94,14-03-2020 06:41:15,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0402,18297,6723,585,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
95,95,14-03-2020 06:41:15,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4356,1097823,403350,35103,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,14-03-2020 06:42:30,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2414,109782,40335,3510,1500.0,,,,,,,,,,True,,,Skunk! 50 gr.
