,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
51,24-07-2020 20:56:58,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0942,64438,25155,2147,,True,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,24-07-2020 20:56:58,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0576,39379,15373,1312,,True,550,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,24-07-2020 20:56:58,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0733,50118,19565,1670,,True,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,24-07-2020 20:56:58,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.044,30071,11739,1002,,True,420,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,24-07-2020 20:56:58,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0838,57278,22360,1909,,True,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,24-07-2020 20:56:58,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.044,30071,11739,1002,,True,420,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,24-07-2020 20:56:58,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0362,27207,10621,907,,True,380,,,,,,,,Northern Lights Regular [budsonly] 10gram
58,24-07-2020 20:56:58,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.233,159304,62189,5308,,True,2225,,,,,,,,Amfetamin [White] [Import] 10G
59,24-07-2020 20:56:58,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0429,29355,11460,978,,True,410,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
60,24-07-2020 20:56:58,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.054,36565,14256,1215,440,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,24-07-2020 20:56:58,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0478,32410,12636,1077,390,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,24-07-2020 20:56:58,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0619,46538,18168,1551,,True,650,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
63,24-07-2020 20:56:58,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2513,171834,67080,5726,,True,2400,,,,,,,,100 gr marijuana buds
64,24-07-2020 20:56:58,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2618,178994,69875,5964,,True,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,24-07-2020 20:56:58,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,1,Тбилиси,100 гр,0.0366,25059,9783,835,,,350,,,,True,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
66,24-07-2020 20:56:58,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6177,422425,164905,14076,,True,5900,,,,,,,,180 gr marihuana persoalno
67,24-07-2020 20:56:58,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1047,71597,27950,2386,,,1000,,,,True,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
68,24-07-2020 20:56:58,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.89,608578,237575,20278,,True,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
69,24-07-2020 20:56:58,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14319,5590,477,,True,200,,,,,,,,KURYER..500RUB.+BONUS
70,24-07-2020 20:57:59,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14319,5590,477,,True,200,,,,,,,,KURYER..500RUB.+BONUS
71,24-07-2020 20:57:59,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0157,10740,4193,358,,,150,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
72,24-07-2020 20:57:59,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17899,6988,596,,True,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,24-07-2020 20:57:59,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.038,28639,11180,954,,True,400,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
74,24-07-2020 20:57:59,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14319,5590,477,,True,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,24-07-2020 20:57:59,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17899,6988,596,,True,250,,,,,,,,Rabota na marki (kur'er)
76,24-07-2020 20:57:59,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0522,35799,13975,1193,,True,500,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
77,24-07-2020 20:57:59,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5808,1073961,419250,35786,,True,15000,,,,,,,,Vakansija optovogo kur'era na mef
