,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
77,77,15-07-2020 16:00:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17700,6825,605,250.0,True,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,15-07-2020 16:00:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14160,5460,484,200.0,True,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,15-07-2020 16:00:27,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17700,6825,605,250.0,True,,,,,,,,,,,,Rabota na marki (kur'er)
80,80,15-07-2020 16:00:27,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0522,35400,13650,1210,500.0,True,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
81,81,15-07-2020 16:00:27,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.019,14160,5460,484,200.0,True,,,,,,,,,,,,Rabota kur'erom
82,82,15-07-2020 16:00:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5803,1061997,409500,36291,15000.0,True,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,15-07-2020 16:00:27,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0522,35400,13650,1210,500.0,,,True,,,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,15-07-2020 16:02:13,Batumi,f8a875c191,METADON - 0.30 - SALE,,3,5,Батуми,0.3 гр,0.0316,21240,8190,726,300.0,,,,,,,,,,True,,,METADON - 0.30 - SALE
85,85,15-07-2020 16:02:13,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,11,нет,Батуми,2 гр,0.0044,2974,1147,102,42.0,,,,,,,,,,True,,,Melkie shishki (Indica) 2g
86,86,15-07-2020 16:02:13,Batumi,75738ec358,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0256,19116,7371,653,270.0,,,,,,,,,,True,,,ASTRAL 3g
87,87,15-07-2020 16:02:13,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0373,25060,9641,850,,,,,310.0,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
88,88,15-07-2020 16:02:13,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0332,24780,9555,847,350.0,,,,,,,,,,True,,,Mefedron 3g
89,89,15-07-2020 16:02:13,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0399,29736,11466,1016,420.0,,,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
90,90,15-07-2020 16:02:13,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0529,35569,13684,1207,,,,,440.0,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
91,91,15-07-2020 16:02:13,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0469,31527,12129,1070,,,,,390.0,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
