,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
84,29-03-2020 04:55:15,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2954,155465,57000,5151,2000,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
85,29-03-2020 04:55:15,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3656,194331,71250,6439,2500,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,29-03-2020 04:55:15,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2216,116599,42750,3863,1500,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,29-03-2020 04:55:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6727,357570,131100,11847,4600,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,29-03-2020 04:55:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0968,582994,213750,19316,7500,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,29-03-2020 04:55:15,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.243,660726,242250,21891,8500,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,29-03-2020 04:55:15,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0266,15547,5700,515,200,True,,,,,,,,,,,KURYER..500RUB.+BONUS
91,29-03-2020 04:55:15,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0292,15547,5700,515,200,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
92,29-03-2020 04:55:15,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0367,21435,7938,709,,True,,,,,,,250,,,,Rabota na marki (kur'er)
93,29-03-2020 04:55:15,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0292,15547,5700,515,200,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,29-03-2020 04:55:15,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0366,19433,7125,644,250,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
95,29-03-2020 04:55:15,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2135,1165988,427500,38631,15000,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
