,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
65,12-03-2020 00:17:12,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0472,28517,10574,926,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,12-03-2020 00:17:12,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0419,25015,9275,812,350,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
67,12-03-2020 00:17:12,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0947,57178,21200,1857,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,12-03-2020 00:17:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2635,159025,58963,5164,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
69,12-03-2020 00:17:57,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1733,103563,38399,3363,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,12-03-2020 00:17:57,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0441,26373,9779,856,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,12-03-2020 00:17:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0358,21370,7924,694,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,12-03-2020 00:17:57,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2013,121502,45050,3945,1700,,,,,,,,,,MDMA 20 g
73,12-03-2020 00:17:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0716,42812,15874,1390,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
74,12-03-2020 00:17:57,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0795,50030,18550,1625,700,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
75,12-03-2020 00:17:57,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1292,85766,31800,2785,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
76,12-03-2020 00:17:57,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1135,71401,26474,2318,999,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
77,12-03-2020 00:17:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2368,142944,53000,4642,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,12-03-2020 00:17:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2392,142944,53000,4642,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
79,12-03-2020 00:17:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.296,178680,66250,5802,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,12-03-2020 00:17:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1794,107208,39750,3481,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,12-03-2020 00:17:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5447,328771,121900,10676,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,12-03-2020 00:17:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8881,536040,198750,17406,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,12-03-2020 00:17:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0065,607512,225250,19727,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,12-03-2020 00:17:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0215,14294,5300,464,200,,,,,,,,,,KURYER..500RUB.+BONUS
85,12-03-2020 00:17:57,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0161,10721,3975,348,150,,,,,,,,,,Rabota na marki (kur'er)
86,12-03-2020 00:17:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0237,14294,5300,464,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,12-03-2020 00:17:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0296,17868,6625,580,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,12-03-2020 00:17:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7923,1072080,397500,34812,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
89,12-03-2020 00:19:45,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,15,нет,Батуми,1 гр,0.0215,14294,5300,464,200,,,,,,,True,,,NZT-52 limited 1 g muka
90,12-03-2020 00:19:45,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0071,4288,1590,139,60,,,,,,,True,,,ORANGE PUNCH [1g]
91,12-03-2020 00:19:45,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0388,25730,9540,835,360,,,,,,,True,,,NZT-52 limited 2g muka
92,12-03-2020 00:19:45,Batumi,Z9UT,Rainbow,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0296,17868,6625,580,250,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
93,12-03-2020 00:19:45,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1776,107208,39750,3481,1500,,,,,,,True,,,Skunk! 50 gr.
94,12-03-2020 00:19:45,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,2,4,Батуми,0.27 гр,0.0323,19297,7155,627,270,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
95,12-03-2020 00:19:45,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.0215,14294,5300,464,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
96,12-03-2020 00:19:45,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2392,142944,53000,4642,2000,,,,,,,True,,,SUBOXIN - HQ - 100 G.
97,12-03-2020 00:19:45,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1794,107208,39750,3481,1500,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,12-03-2020 00:19:45,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0054,3574,1325,116,50,,,,,,,True,,,kur'er v Batumi
99,12-03-2020 00:19:45,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0269,17868,6625,580,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
100,12-03-2020 00:19:45,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0161,10721,3975,348,150,,,,,,,True,,,Rabota na marki (kur'er)
101,12-03-2020 00:19:45,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0269,17868,6625,580,250,,,,,,,True,,,Ischu kur'era v Gruzii!
102,12-03-2020 00:19:45,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7923,1072080,397500,34812,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
