,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
83,83,24-06-2020 16:21:25,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2554,172025,66848,5921,,True,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
84,84,24-06-2020 16:21:25,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2453,165210,64200,5686,,True,2400.0,,,,,,,,,,100 gr marijuana buds
85,85,24-06-2020 16:21:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2044,137675,53500,4738,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,24-06-2020 16:21:25,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2555,172094,66875,5923,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,87,24-06-2020 16:21:25,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.603,406142,157825,13978,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
88,88,24-06-2020 16:21:25,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4383,292560,113688,10069,,True,4250.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
89,89,24-06-2020 16:21:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4701,316653,123050,10898,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,24-06-2020 16:21:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7665,516282,200625,17769,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,24-06-2020 16:21:25,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8687,585120,227375,20138,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,24-06-2020 16:21:25,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13768,5350,474,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
93,93,24-06-2020 16:21:25,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13768,5350,474,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,94,24-06-2020 16:21:25,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0256,17209,6688,592,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
95,95,24-06-2020 16:21:25,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5469,1032564,401250,35538,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,24-06-2020 16:24:30,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,6,нет,Батуми,0.25 гр,0.0135,9253,3596,318,119.0,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
