,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
75,75,10-05-2020 09:21:00,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2757,177294,65064,5860,2400.0,,,,,,,,,,100 gr marijuana buds
76,76,10-05-2020 09:21:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2297,147745,54220,4883,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
77,77,10-05-2020 09:21:00,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2871,184681,67775,6104,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,10-05-2020 09:21:00,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6777,435848,159949,14405,5900.0,,,,,,,,,,180 gr marihuana persoalno
79,79,10-05-2020 09:21:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5283,339814,124706,11231,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,10-05-2020 09:21:00,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8614,554044,203325,18311,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,10-05-2020 09:21:00,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9763,627916,230435,20753,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,10-05-2020 09:21:00,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0209,14775,5422,488,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
83,83,10-05-2020 09:21:00,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0287,18468,6778,610,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 250$"
84,84,10-05-2020 09:21:00,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.023,14775,5422,488,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,10-05-2020 09:21:00,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0287,18468,6778,610,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,10-05-2020 09:21:00,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.023,14775,5422,488,200.0,,,,,,,,,,Rabota na marki (kur'er)
87,87,10-05-2020 09:21:00,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7385,1108088,406650,36623,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
88,88,10-05-2020 09:22:31,Batumi,c30e679930,BatumiBiz - Марихуана Бошки [2 gram],,2,нет,Батуми,2 гр,0.0066,4285,1572,142,58.0,,,,,,,True,,,BatumiBiz - Marihuana Boshki [2 gram]
89,89,10-05-2020 09:22:31,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0041,2640,969,87,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
90,90,10-05-2020 09:22:31,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2496,162520,59642,5371,2200.0,,,,,,,,True,,[100g] SPAIN HASH
91,91,10-05-2020 09:22:31,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0091,5910,2169,195,80.0,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
92,92,10-05-2020 09:22:31,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1735,112990,51992,3734,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
93,93,10-05-2020 09:22:31,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2748,178900,82321,5912,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
94,94,10-05-2020 09:22:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0103,7387,2711,244,100.0,,,,,,,,True,,kur'er v Batumi
95,95,10-05-2020 09:22:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0258,18468,6778,610,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
96,96,10-05-2020 09:22:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0258,18468,6778,610,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
97,97,10-05-2020 09:22:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7174,1108088,406650,36623,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
98,98,10-05-2020 09:22:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0567,36936,13555,1221,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,99,10-05-2020 09:23:25,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.021,13666,5015,452,185.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
100,100,10-05-2020 09:23:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,6,нет,Кутаиси,2 гр,0.0551,35828,13148,1184,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
