,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
68,68,24-04-2020 05:22:31,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2597,944,85,,,,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
69,69,24-04-2020 05:22:31,Batumi,54915c4374,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.0071,4463,1623,147,,,,,,,,,,,,,55.0,True,True,,Batumi n-booom 4 shtuki
70,70,24-04-2020 05:22:31,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0077,4869,1770,160,,,,,,,,,,,,,60.0,True,,,Batumi n-booom 5 shtuk
71,71,24-04-2020 05:22:31,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2872,165284,59950,5431,2200.0,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
72,72,24-04-2020 05:22:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0119,7513,2725,247,100.0,,,,,,,,,,,,,True,,,kur'er v Batumi
73,73,24-04-2020 05:22:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0297,18782,6813,617,250.0,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
74,74,24-04-2020 05:22:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0297,18782,6813,617,250.0,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
75,75,24-04-2020 05:22:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9763,1126935,408750,37031,15000.0,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
76,76,24-04-2020 05:22:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0653,37565,13625,1234,500.0,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,24-04-2020 05:24:05,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0245,14199,5150,467,189.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,24-04-2020 05:24:05,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0581,33357,12099,1096,444.0,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,24-04-2020 05:24:05,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0405,23290,8448,765,310.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,24-04-2020 05:24:05,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0262,15026,5450,494,200.0,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
