,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
75,02-06-2020 08:50:40,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2198,153365,59400,5282,2200,,,,,,,,True,,,[100g] SPAIN HASH
76,02-06-2020 08:50:40,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0225,16034,6210,552,230,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
77,02-06-2020 08:50:40,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0411,29279,11340,1008,420,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
78,02-06-2020 08:50:40,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5046,348557,135000,12004,5000,,,,,,,,True,,,METADON - 20 G.
79,02-06-2020 08:50:40,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.162,112990,51992,3897,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
80,02-06-2020 08:50:40,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2564,178900,82321,6171,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
81,02-06-2020 08:50:40,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,6971,2700,240,100,,,,,,,,True,,,kur'er v Batumi
82,02-06-2020 08:50:40,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0227,17428,6750,600,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,02-06-2020 08:50:40,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0227,17428,6750,600,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
84,02-06-2020 08:50:40,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.02,13942,5400,480,200,,,,,,,,True,,,Kur'er Batumi na marihuanu
85,02-06-2020 08:50:40,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0278,19409,7500,668,,,,,,,,,True,250,,Rabota na marki (kur'er)
86,02-06-2020 08:50:40,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5125,1045671,405000,36012,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
87,02-06-2020 08:50:40,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.05,34856,13500,1200,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,02-06-2020 08:51:58,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0303,21541,8343,742,309,,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
89,02-06-2020 08:51:58,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0191,13594,5265,468,195,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
90,02-06-2020 08:51:58,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0278,19409,7500,668,,,,,,,,,,250,True,Rabota na marki (kur'er)
