,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
78,13-07-2020 07:37:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17807,6813,608,,True,,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,13-07-2020 07:37:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14246,5450,486,,True,,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,13-07-2020 07:37:47,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17807,6813,608,,True,,250,,,,,,,,,,Rabota na marki (kur'er)
81,13-07-2020 07:37:47,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0522,35615,13625,1215,,True,,500,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
82,13-07-2020 07:37:47,Tbilisi,X4ZM,ZYX,Работа курьером,,нет,1,Тбилиси,10 гр,0.019,14246,5450,486,,True,,200,,,,,,,,,,Rabota kur'erom
83,13-07-2020 07:37:47,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.58,1068447,408750,36450,,True,,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
84,13-07-2020 07:37:47,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0522,35615,13625,1215,,,,500,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,13-07-2020 07:38:58,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0044,2992,1145,102,,,,42,,,,,,,True,,,Melkie shishki (Indica) 2g
86,13-07-2020 07:38:58,Batumi,5HQU,LIKEaBOSS,ASTRAL 3g,,3,нет,Батуми,3 гр,0.0256,19232,7358,656,,,,270,,,,,,,True,,,ASTRAL 3g
87,13-07-2020 07:38:58,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,3,нет,Батуми,5 гр,0.0365,24930,9538,851,,,,350,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
