,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
74,22-05-2020 06:57:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7959,531930,202200,17892,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,22-05-2020 06:57:34,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.902,602854,229160,20278,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
76,22-05-2020 06:57:34,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14185,5392,477,200,,,,,,,,,,,KURYER..500RUB.+BONUS
77,22-05-2020 06:57:34,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0425,28370,10784,954,400,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
78,22-05-2020 06:57:34,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14185,5392,477,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,22-05-2020 06:57:34,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0265,17731,6740,596,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,22-05-2020 06:57:34,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6063,1063860,404400,35784,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,22-05-2020 06:59:14,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,9,нет,Батуми,0.5 гр,0.0064,4255,1618,143,60,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
82,22-05-2020 06:59:14,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,2,нет,Батуми,1 гр,0.011,7447,2831,250,105,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
83,22-05-2020 06:59:14,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2336,156033,59312,5248,2200,,,,,,,,True,,,[100g] SPAIN HASH
84,22-05-2020 06:59:14,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0349,25673,9768,863,,,,,,330,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
85,22-05-2020 06:59:14,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,9,Батуми,2 гр,0.0038,2567,977,86,,,,,,33,,,True,,,Batumi n-booom 2 shtuki
86,22-05-2020 06:59:14,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0425,28370,10784,954,400,,,,,,,,True,,,MDMA !! 3 gramma
87,22-05-2020 06:59:14,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1691,112990,51992,3802,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,22-05-2020 06:59:14,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2678,178900,82321,6019,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,22-05-2020 06:59:14,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7092,2696,239,100,,,,,,,,True,,,kur'er v Batumi
90,22-05-2020 06:59:14,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17731,6740,596,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,22-05-2020 06:59:14,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17731,6740,596,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,22-05-2020 06:59:14,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.607,1063860,404400,35784,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,22-05-2020 06:59:14,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,35462,13480,1193,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,22-05-2020 07:00:45,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,3,нет,Кутаиси,0.55 гр,0.0021,1560,593,52,22,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
95,22-05-2020 07:00:45,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0511,34398,13076,1157,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,22-05-2020 07:00:45,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 2.2г бтк скидка 10% !!,,1,нет,Кутаиси,2.2 гр,0.0048,3546,1348,119,50,,,,,,,,,,True,Shishki Lemon weed TGK 25% 2.2g btk skidka 10% !!
97,22-05-2020 07:00:45,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.039,26242,9975,883,370,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,22-05-2020 07:00:45,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,14185,5392,477,200,,,,,,,,,,True,Rabota na marki (kur'er)
