,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
72,20-05-2020 21:20:18,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14468,5380,483,200,,,,,,,,,,KURYER..500RUB.+BONUS
73,20-05-2020 21:20:18,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0418,28935,10760,966,400,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
74,20-05-2020 21:20:18,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,14468,5380,483,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,20-05-2020 21:20:18,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0261,18085,6725,604,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,20-05-2020 21:20:18,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5813,1085072,403500,36239,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
77,20-05-2020 21:21:30,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,10,нет,Батуми,0.5 гр,0.0063,4340,1614,145,60,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
78,20-05-2020 21:21:30,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,1 гр,0.0109,7596,2825,254,105,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
79,20-05-2020 21:21:30,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2303,159144,59180,5315,2200,,,,,,,True,,,[100g] SPAIN HASH
80,20-05-2020 21:21:30,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0038,2613,971,87,,,,,33,,,True,,,Batumi n-booom 2 shtuki
81,20-05-2020 21:21:30,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1635,112990,51992,3772,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,20-05-2020 21:21:30,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2589,178900,82321,5972,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,20-05-2020 21:21:30,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7234,2690,242,100,,,,,,,True,,,kur'er v Batumi
84,20-05-2020 21:21:30,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,18085,6725,604,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,20-05-2020 21:21:30,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,18085,6725,604,250,,,,,,,True,,,Ischu kur'era v Gruzii!
86,20-05-2020 21:21:30,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5843,1085072,403500,36239,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
87,20-05-2020 21:21:30,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,36169,13450,1208,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,20-05-2020 21:22:51,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0503,35084,13047,1172,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,20-05-2020 21:22:51,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0383,26765,9953,894,370,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,20-05-2020 21:22:51,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0209,14468,5380,483,200,,,,,,,,,True,Rabota na marki (kur'er)
