,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
89,01-07-2020 23:24:10,Batumi,Z9UT,Rainbow,Super Critical 10G,,4,нет,Батуми,10 гр,0.0468,31699,12132,1086,450,,,,,,,,,,True,Super Critical 10G
90,01-07-2020 23:24:10,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0262,17610,6740,603,250,,,,,,,,,True,,METADON - 0.25 - SALE
91,01-07-2020 23:24:10,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1559,105662,40440,3618,1500,,,,,,,,,True,,Gerojn (sirets) 5 gr
92,01-07-2020 23:24:10,Batumi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2287,154971,59312,5307,2200,,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
93,01-07-2020 23:24:10,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0459,30884,11798,1056,,,,,,,390,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
94,01-07-2020 23:24:10,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0495,33260,12705,1137,,,,,,,420,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,01-07-2020 23:24:10,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3867,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,01-07-2020 23:24:10,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6123,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,01-07-2020 23:24:10,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7044,2696,241,100,,,,,,,,,True,,kur'er v Batumi
98,01-07-2020 23:24:10,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17610,6740,603,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
