,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
71,71,21-03-2020 16:35:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2228,663377,238850,21752,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,21-03-2020 16:35:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0262,15609,5620,512,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,21-03-2020 16:35:51,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0196,11707,4215,384,150.0,,,,,,,,,,,,Rabota na marki (kur'er)
74,74,21-03-2020 16:35:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0288,15609,5620,512,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,21-03-2020 16:35:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.036000000000000004,19511,7025,640,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,21-03-2020 16:35:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1776,1170665,421500,38387,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,21-03-2020 16:37:47,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,9,нет,Батуми,0.5 гр,0.0105,6244,2248,205,80.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
78,78,21-03-2020 16:37:47,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,3,нет,Батуми,1 гр,0.0392,23413,8430,768,300.0,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
79,79,21-03-2020 16:37:47,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,22,нет,Батуми,1 гр,0.0249,14828,5339,486,190.0,,,,,,,,,,True,,NZT-52 limited 1 g muka
80,80,21-03-2020 16:37:47,Batumi,c72111ac1a,NZT-52 limited 2г мука,,10,нет,Батуми,2 гр,0.0445,26535,9554,870,340.0,,,,,,,,,,True,,NZT-52 limited 2g muka
81,81,21-03-2020 16:37:47,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3165,171697,61820,5630,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
