,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
62,27-05-2020 01:18:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5041,327248,124706,11038,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,27-05-2020 01:18:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8219,533556,203325,17996,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,27-05-2020 01:18:51,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9315,604697,230435,20396,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,27-05-2020 01:18:51,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,14228,5422,480,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
66,27-05-2020 01:18:51,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,14228,5422,480,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,27-05-2020 01:18:51,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,17785,6778,600,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,27-05-2020 01:20:32,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0329,21342,8133,720,300,,,,,,,,True,,,,shishki marihuany 5G
69,27-05-2020 01:20:32,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2411,156510,59642,5279,2200,,,,,,,,,True,,,[100g] SPAIN HASH
70,27-05-2020 01:20:32,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,1,2,Батуми,0.5 гр,0.0093,6047,2304,204,85,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
71,27-05-2020 01:20:32,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0444,28812,10980,972,405,,,,,,,,,True,,,MDMA !! 3 gramma
72,27-05-2020 01:20:32,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1741,112990,51992,3787,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,27-05-2020 01:20:32,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2756,178900,82321,5996,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,27-05-2020 01:20:32,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7114,2711,240,100,,,,,,,,,True,,,kur'er v Batumi
75,27-05-2020 01:20:32,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,17785,6778,600,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
76,27-05-2020 01:20:32,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,17785,6778,600,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
77,27-05-2020 01:20:32,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.03,19446,7425,653,,,,,,,,,,True,250,,Rabota na marki (kur'er)
78,27-05-2020 01:20:32,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6588,1067112,406650,35993,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
79,27-05-2020 01:20:32,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0548,35570,13555,1200,500,,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
80,27-05-2020 01:21:42,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0526,34503,13148,1164,485,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,27-05-2020 01:21:42,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,5,нет,Кутаиси,3 гр,0.0354,23476,8946,792,330,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,27-05-2020 01:21:42,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,1,нет,Кутаиси,3.3 гр,0.0075,5336,2033,180,75,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
83,27-05-2020 01:21:42,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.03,19446,7425,653,,,,,,,,,,,250,True,Rabota na marki (kur'er)
