,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
84,84,20-03-2020 17:08:24,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0339,19511,7075,635,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,20-03-2020 17:08:24,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0551,1170665,424500,38121,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,20-03-2020 17:10:01,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,25,нет,Батуми,1 гр,0.0236,14828,5377,483,190.0,,,,,,,,True,,,NZT-52 limited 1 g muka
87,87,20-03-2020 17:10:01,Batumi,c72111ac1a,NZT-52 limited 2г мука,,12,нет,Батуми,2 гр,0.0422,26535,9622,864,340.0,,,,,,,,True,,,NZT-52 limited 2g muka
88,88,20-03-2020 17:10:01,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3007,171697,62260,5591,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
89,89,20-03-2020 17:10:01,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0249,15609,5660,508,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
90,90,20-03-2020 17:10:01,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2761,156089,56600,5083,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
91,91,20-03-2020 17:10:01,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2071,117066,42450,3812,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
92,92,20-03-2020 17:10:01,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7804,2830,254,100.0,,,,,,,,True,,,kur'er v Batumi
93,93,20-03-2020 17:10:01,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0311,19511,7075,635,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
94,94,20-03-2020 17:10:01,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0186,11707,4245,381,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
95,95,20-03-2020 17:10:01,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0311,19511,7075,635,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
96,96,20-03-2020 17:10:01,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0688,1170665,424500,38121,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
97,97,20-03-2020 17:10:01,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0683,39022,14150,1271,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,98,20-03-2020 17:11:30,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,10,нет,Кутаиси,1 гр,0.0277,15999,5802,521,205.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
99,99,20-03-2020 17:11:30,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0242,13970,5066,455,179.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
