,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
59,59,06-07-2020 08:26:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8982,599249,232475,20582,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,06-07-2020 08:26:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14100,5470,484,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,06-07-2020 08:26:44,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
62,62,06-07-2020 08:26:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14100,5470,484,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,06-07-2020 08:26:44,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250.0,,,,,,,,,,,Rabota na marki (kur'er)
64,64,06-07-2020 08:26:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5994,1057499,410250,36321,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,06-07-2020 08:30:56,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,8,нет,Батуми,2 гр,0.0058,3878,1504,133,,,55.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
66,66,06-07-2020 08:30:56,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0267,17625,6838,605,,,250.0,,,,,,,,,True,,METADON - 0.25 - SALE
67,67,06-07-2020 08:30:56,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,30896,11934,1065,390.0,,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
68,68,06-07-2020 08:30:56,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0503,33273,12852,1147,420.0,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
69,69,06-07-2020 08:30:56,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1694,112990,51992,3882,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,06-07-2020 08:30:56,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2681,178900,82321,6147,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,06-07-2020 08:30:56,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100.0,,,,,,,,,True,,kur'er v Batumi
72,72,06-07-2020 08:30:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17625,6838,605,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,73,06-07-2020 08:30:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17625,6838,605,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
74,74,06-07-2020 08:30:56,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14100,5470,484,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
75,75,06-07-2020 08:30:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5994,1057499,410250,36321,,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,76,06-07-2020 08:30:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35250,13675,1211,,,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
