,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
85,16-08-2020 12:04:37,Batumi,5HQU,LIKEaBOSS,ASTRAL 10g,,1,нет,Батуми,10 гр,0.0512,45394,17112,1523,620,,,,,,,,,,True,,ASTRAL 10g
86,16-08-2020 12:04:37,Batumi,5HQU,LIKEaBOSS,ASTRAL 15g,,1,нет,Батуми,15 гр,0.0702,62233,23460,2088,850,,,,,,,,,True,,,ASTRAL 15g
87,16-08-2020 12:04:37,Batumi,XUYA,MRweed,Critical + 2.0 Grinded Buds (измельченные шишки) 15гр,,1,нет,Батуми,15 гр,0.0498,47590,17940,1597,650,,,,,,,,,True,,,Critical + 2.0 Grinded Buds (izmel'chennye shishki) 15gr
88,16-08-2020 12:04:37,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.04,34477,13007,1157,,,,,,,,,,True,,399,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,16-08-2020 12:04:37,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0391,33700,12714,1131,,,,,,,,,,True,,390,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,16-08-2020 12:04:37,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18304,6900,614,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,16-08-2020 12:04:37,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18304,6900,614,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,16-08-2020 12:04:37,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14643,5520,491,200,,,,,,,,,True,,,Kur'er Batumi na marihuanu
93,16-08-2020 12:04:37,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2754,1098236,414000,36846,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,16-08-2020 12:04:37,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0421,36608,13800,1228,500,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
