,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
67,67,25-05-2020 13:04:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8248,539103,202875,17990,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,68,25-05-2020 13:04:30,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9348,610983,229925,20388,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,25-05-2020 13:05:23,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0275,17970,6763,600,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,25-05-2020 13:05:23,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6677,1078206,405750,35979,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,25-05-2020 13:06:21,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,0.5 гр,0.0066,4313,1623,144,60.0,,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
72,72,25-05-2020 13:06:21,Batumi,3c4662c591,шишки марихуаны 5G,,3,нет,Батуми,5 гр,0.033,21564,8115,720,300.0,,,,,,,,,,,True,,shishki marihuany 5G
73,73,25-05-2020 13:06:21,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2423,158137,59510,5277,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
74,74,25-05-2020 13:06:21,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6110,2299,204,85.0,,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
75,75,25-05-2020 13:06:21,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0361,25886,9719,864,,,,,,,330.0,,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
76,76,25-05-2020 13:06:21,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0496,32346,12173,1079,450.0,,,,,,,,,,True,,,MDMA !! 3 gramma
77,77,25-05-2020 13:06:21,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1731,112990,51992,3777,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,78,25-05-2020 13:06:21,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2741,178900,82321,5980,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,79,25-05-2020 13:06:21,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7188,2705,240,100.0,,,,,,,,,,True,,,kur'er v Batumi
80,80,25-05-2020 13:06:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.025,17970,6763,600,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,25-05-2020 13:06:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.025,17970,6763,600,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,25-05-2020 13:06:21,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.012,7844,2945,262,,,,,,,100.0,,,,True,,,Rabota na marki (kur'er)
83,83,25-05-2020 13:06:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6669999999999998,1078206,405750,35979,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
84,84,25-05-2020 13:06:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0551,35940,13525,1199,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,25-05-2020 13:07:51,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0529,34862,13119,1163,485.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,25-05-2020 13:07:51,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0281,18689,7033,624,260.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,25-05-2020 13:07:51,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5391,2029,180,75.0,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
88,88,25-05-2020 13:07:51,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0115,8266,3111,276,115.0,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
89,89,25-05-2020 13:07:51,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.012,7844,2945,262,,,,,,,100.0,,,,,,True,Rabota na marki (kur'er)
